,flo_in,sed_in
2003-03-06,11.9,.439E+04
2003-03-07,378.,.139E+06
2003-03-08,110.,.491E+05
2003-03-09,17.7,.753E+04
2003-03-10,13.6,.529E+04
2003-03-11,12.6,.479E+04
2003-03-12,12.3,.461E+04
2003-03-13,12.3,.461E+04
2003-03-14,12.4,.463E+04
2003-03-15,12.5,.479E+04
2003-03-16,15.9,.668E+04
2003-03-17,24.4,.113E+05
2003-03-18,12.7,.483E+04
2003-03-19,12.7,.485E+04
2003-03-20,12.8,.485E+04
2003-03-21,12.9,.496E+04
2003-03-22,12.9,.500E+04
2003-03-23,12.9,.500E+04
2003-03-24,12.9,.502E+04
2003-03-25,70.0,.335E+05
2003-03-26,13.2,.512E+04
2003-03-27,13.1,.512E+04
2003-03-28,13.2,.513E+04
2003-03-29,13.5,.529E+04
2003-03-30,13.3,.523E+04
2003-03-31,13.3,.522E+04
2003-04-01,13.4,.531E+04
2003-04-02,62.1,.301E+05
2003-04-03,13.8,.546E+04
2003-04-04,13.6,.536E+04
2003-04-05,173.,.708E+05
2003-04-06,20.0,.873E+04
2003-04-07,14.4,.580E+04
2003-04-08,141.,.598E+05
2003-04-09,27.0,.123E+05
2003-04-10,16.7,.703E+04
2003-04-11,14.6,.583E+04
2003-04-12,126.,.551E+05
2003-04-13,24.6,.111E+05
2003-04-14,16.2,.675E+04
2003-04-15,15.9,.662E+04
2003-04-16,14.3,.570E+04
2003-04-17,14.1,.560E+04
2003-04-18,14.2,.566E+04
2003-04-19,14.2,.566E+04
